WALIS Other chronology ID,Is this datapoint public?,Short name,Dating technique,Description,Upper age (ka),Lower age (ka),Age is Older/Equal/Younger than,Marine Isotopic Stage,Comments/details on MIS designation,Reference(s),Record created by,Record updated by,Last Update
50,1,Ezeiza 1,Radiocarbon,"Shell in marine sediments
Lab code: AA90344
species: Chione subrostrata
d13C: 0.4
Age: 33,700+/-550",0.0,33.7,Older than,MIS 3,Authors interpreted this as a minimum limiting age.,"Martinez et al., 2016
 Gowan et al., 2021",Evan Gowan,,2020-05-15 03:25:33
51,1,Ezeiza 2,Radiocarbon,"Shell in marine sediments
Lab code: AA104700
species: Chione subrostrata
d13C: -1.9
Age: 39,900+/-1200",0.0,33.7,Older than,MIS 3,Authors interpreted this as a minimum limiting age.,"Martinez et al., 2016
 Gowan et al., 2021",Evan Gowan,,2020-05-15 03:26:35
52,1,Nicolás Vignona III,Radiocarbon,"Lab Code: LP2729
Species: Ostrea sp.
age: 31,950+/-830",0.0,31.95,Older than,MIS 3,Minimum limiting age,"Beilinson et al., 2019
 Gasparini et al., 2016
 Gowan et al., 2021",Evan Gowan,,2020-05-18 10:18:42
53,1,San Marco Evangelista,39Ar/40Ar ,39Ar/40Ar analysis on sanidine crystals of a tefra layer.,0.0,0.0,Equal to,MIS 7,The age provided is 150 ± 10,"Santangelo et al., 2010
 Cerrone et al., 2021",Ciro Cerrone,Ciro Cerrone,2021-06-01 08:27:14
54,1,Texas Stratigraphic Correlation,This feature has been dating across other portions of the margin but not directly dated at this location,The Ingleside can be mapped across Texas but only dated in two places,136.6,112.0,Equal to,MIS 5e,Dated with OSL in other locations,"Simms et al., 2013
 Simms, 2021",Alexander Simms,Alexander Simms,2020-06-22 23:33:10
55,1,Clast of  Ancient Alkalic Centres Unit,K-Ar dating on lava flows,Volcanic alkali clasts dated 180-100 Ka,,,Equal to,MIS 7,The age provided is 150 ± 10,"Gillot et al., 1994
 Cerrone et al., 2021",Ciro Cerrone,Ciro Cerrone,2020-08-04 07:14:45
56,1,CRN_210,Cosmogenic nuclides,exposure dating using 10Be and 26Al in situ produced cosmogenic nuclides on fluvial conglomerates above marine sediments,133.0,127.0,Equal to,MIS 5e,,"Melnick et al., 2009
 Freisleben et al., 2021",Roland Freisleben,,2020-09-10 11:36:32
57,1,CRN_1531_PP,Cosmogenic nuclides,Cosmogenic-nuclide dating (10Be) on bedrock samples of abrasion-shore terraces,154.47,121.04,Equal to,MIS 5,provided ages are zero-erosion ages,"Martinod et al., 2016
 Freisleben et al., 2021",Roland Freisleben,,2020-09-16 16:45:08
58,1,CRN_1531_ES,Cosmogenic nuclides,Cosmogenic-nuclide dating (10Be) on bedrock samples of abrasion-shore terraces,94.65,74.86,Equal to,MIS 5,provided ages are zero-erosion ages,"Martinod et al., 2016
 Freisleben et al., 2021",Roland Freisleben,,2020-09-16 16:48:17
59,1,CRN_1531_CC,Cosmogenic nuclides,Cosmogenic-nuclide dating (10Be) on bedrock samples of abrasion-shore terraces,138.83,138.55,Equal to,MIS 5,provided ages are zero-erosion ages,"Martinod et al., 2016
 Freisleben et al., 2021",Roland Freisleben,,2020-09-16 16:52:01
60,1,MA04-205-171,lateral assignment of marine terrace ages based on previous U/Th and ESR results from Radtke (1987),lateral assignment of marine terrace ages based on previous U/Th and ESR results from Radtke (1987),,,Equal to,MIS 5,,"Marquardt et al., 2004
 Radtke, 1987
 Freisleben et al., 2021",Roland Freisleben,Roland Freisleben,2020-09-17 12:36:59
61,1,PI02-170,Tephrochronology / morphostratigraphy,Tephrochronology / morphostratigraphy,,,Equal to,MIS 5e,,"Pino et al., 2002
 Freisleben et al., 2021",Roland Freisleben,WALIS Admin,2020-12-16 12:41:33
62,1,RA89-172-001,ESR and U/Th,ESR and U/Th on shells (at Punta Lobos),,,Equal to,MIS 5,,"Radtke, 1989
 Freisleben et al., 2021",Roland Freisleben,Roland Freisleben,2020-09-22 15:45:17
